user_id,application_id,user_type,sample_datetime,sample_month,sample_quarter,aus_new_worthiness_bid_3rdmodel_v1_0_20260429,duedate_1m_5,duedate_2m_5,duedate_1m_30,duedate_3m_30,duedate_4m_30,y_interest_income_1m,y_interest_income_2m,y_interest_income_3m,y_interest_income_4m,y_interest_income_5m,y_interest_income_6m,y_interest_income_7m,y_interest_income_8m,y_interest_income_9m,y_interest_income_10m,y_interest_income_11m,y_interest_income_12m
484570939.0,2240788.0,New,1/18/2026 16:17,2026-01,2026-Q1,0.153551899,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,,,,,,
484338781.0,1255549.0,New,4/7/2024 13:35,2024-04,2024-Q2,0.314651928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484336529.0,1542772.0,New,10/31/2024 15:15,2024-10,2024-Q4,0.203135076,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
483983741.0,2138742.0,New,11/14/2025 7:31,2025-11,2025-Q4,0.279853141,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,
484440171.0,1712827.0,New,2/28/2025 8:59,2025-02,2025-Q1,0.419305084,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484567286.0,2226501.0,New,1/8/2026 13:03,2026-01,2026-Q1,0.508608865,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,
484475396.0,1850073.0,New,5/24/2025 8:26,2025-05,2025-Q2,0.260964967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
484310086.0,2125956.0,New,11/6/2025 15:24,2025-11,2025-Q4,0.132325802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
484425503.0,1650075.0,New,1/13/2025 15:08,2025-01,2025-Q1,0.086532123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484315502.0,1188487.0,New,3/7/2024 9:46,2024-03,2024-Q1,0.253007816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484406709.0,2297064.0,New,2/25/2026 9:58,2026-02,2026-Q1,0.352766501,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
484410680.0,1577203.0,New,11/21/2024 23:25,2024-11,2024-Q4,0.224314003,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484292791.0,1119720.0,New,1/31/2024 1:44,2024-01,2024-Q1,0.128701285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484498865.0,1943484.0,New,7/21/2025 11:26,2025-07,2025-Q3,0.185652471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
484478714.0,1993056.0,New,8/19/2025 16:00,2025-08,2025-Q3,0.595842432,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
484270378.0,1260114.0,New,4/9/2024 18:09,2024-04,2024-Q2,0.209064779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484146623.0,2385686.0,New,4/19/2026 5:42,2026-04,2026-Q2,0.213832279,0.0,,,,,,,,,,,,,,,,
484416576.0,1608008.0,New,12/13/2024 15:37,2024-12,2024-Q4,0.183435836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484388453.0,1453508.0,New,8/27/2024 21:22,2024-08,2024-Q3,0.334653257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483931222.0,1331073.0,New,5/16/2024 8:59,2024-05,2024-Q2,0.274690602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484352200.0,1395639.0,New,7/8/2024 12:07,2024-07,2024-Q3,0.309469126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484300715.0,1140684.0,New,2/12/2024 10:58,2024-02,2024-Q1,0.149205188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484288724.0,1260304.0,New,4/9/2024 19:26,2024-04,2024-Q2,0.334578139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484423972.0,2296403.0,New,2/24/2026 18:28,2026-02,2026-Q1,0.210507069,0.0,0.0,0.0,,,1.0,1.0,,,,,,,,,,
483979874.0,1458194.0,New,8/30/2024 11:18,2024-08,2024-Q3,0.294792054,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484072025.0,1364845.0,New,6/12/2024 18:30,2024-06,2024-Q2,0.491480309,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484503563.0,1965471.0,New,8/3/2025 8:43,2025-08,2025-Q3,0.225561357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
484472924.0,1840318.0,New,5/18/2025 13:37,2025-05,2025-Q2,0.198263703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
484507373.0,1981981.0,New,8/13/2025 4:57,2025-08,2025-Q3,0.244759757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
483979961.0,1461445.0,New,9/1/2024 17:08,2024-09,2024-Q3,0.237224759,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484135595.0,1379847.0,New,6/25/2024 13:18,2024-06,2024-Q2,0.2549637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484065399.0,1402231.0,New,7/14/2024 11:31,2024-07,2024-Q3,0.453500371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484339052.0,1256281.0,New,4/7/2024 21:41,2024-04,2024-Q2,0.45202588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484586641.0,2293974.0,New,2/23/2026 6:42,2026-02,2026-Q1,0.280804473,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,
23545.0,1485654.0,New,9/19/2024 11:27,2024-09,2024-Q3,0.395388846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484437302.0,1702339.0,New,2/21/2025 11:00,2025-02,2025-Q1,0.151775346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484239643.0,1870608.0,New,6/5/2025 11:40,2025-06,2025-Q2,0.264922498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
