primary_model_score_bin,bank_txn_industry_primary_industry,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,Mining,206,0.003160575654361901,112,12,100,0.10714285714285714,196,10,186,0.05102040816326531,15450.989999999998,275950.0,0.055991991302772236,19034.870000000003,275950.0,0.0689794165609712,0.04680380809808382,2543.6893203883496,1549.6359223300972,3036.1122411003234,2571.563551779935,10555.291521035597,53394.65373786407,13.932038834951456,2.918141040242718,0.920702818053398,1.3883495145631068,206,206,206,71,135,206,1.0,1.0,0.3446601941747573,0.6553398058252428,0.3446601941747573,0.6553398058252428,1.0
1,Retail Trade,177,0.0027156402467090122,91,7,84,0.07692307692307693,165,1,164,0.006060606060606061,8405.85,218425.0,0.038483918965319906,8016.26,218425.0,0.03670028613940712,0.05432945332803094,2369.491525423729,1465.819209039548,1897.4945668549906,1485.9314595103576,8085.136516007532,39475.55779661017,10.403954802259888,1.9265599067909602,0.915796207361582,1.4293785310734464,177,177,177,57,120,177,1.0,1.0,0.3220338983050847,0.6779661016949152,0.3220338983050847,0.6779661016949152,1.0
1,Social Services/Non-Profit Organizations,85,0.0013041210224308817,44,3,41,0.06818181818181818,77,4,73,0.05194805194805195,4844.4,111875.0,0.04330189944134078,3690.56,111875.0,0.03298824581005586,0.04812376880780443,2896.176470588235,1615.0,3066.59931372549,2630.3358823529406,10428.146529411766,41036.65247058823,8.58235294117647,2.7368462676470586,0.7967897398470589,1.9058823529411764,85,85,85,28,57,85,1.0,1.0,0.32941176470588235,0.6705882352941176,0.32941176470588235,0.6705882352941176,1.0
1,Sports/Entertainment/Gambling,35,0.0005369910092362453,18,0,18,0.0,32,1,31,0.03125,999.97,48000.0,0.020832708333333335,0.0,48000.0,0.0,0.05202765786542668,2777.1428571428573,1500.0,1940.1311428571428,1525.4682857142855,7973.286904761903,36626.64599999999,7.814285714285714,1.6606585886285714,0.8983077435714286,1.4285714285714286,35,35,35,11,24,35,1.0,1.0,0.3142857142857143,0.6857142857142857,0.3142857142857143,0.6857142857142857,1.0
1,Technical Services/Information Media,178,0.002730982846972905,104,11,93,0.10576923076923077,166,6,160,0.03614457831325301,17387.35,237875.0,0.07309448239621649,18949.78,237875.0,0.07966276405675249,0.051278753371527076,2715.449438202247,1574.5786516853932,2977.102125468165,2535.75979400749,9996.958735955055,45477.72140449438,10.713483146067416,2.5554955566573034,0.8845839521516854,1.5898876404494382,178,178,178,59,119,178,1.0,1.0,0.33146067415730335,0.6685393258426966,0.33146067415730335,0.6685393258426966,1.0
1,"Transport, Postal and Warehousing",183,0.0028076958482923684,106,12,94,0.11320754716981132,174,6,168,0.034482758620689655,13208.779999999999,263950.0,0.05004273536654669,11764.380000000001,263950.0,0.044570486834627776,0.051067405621561784,2822.158469945355,1588.7978142076502,2653.0832149362477,2197.0590801457192,9372.313888888888,45865.73163934425,10.193989071038251,2.251410651497268,0.8956396369398908,1.5737704918032787,183,183,183,67,116,183,1.0,1.0,0.366120218579235,0.6338797814207651,0.366120218579235,0.6338797814207651,1.0
1,Unknown,1553,0.023827058209825402,807,56,751,0.06939281288723669,1456,65,1391,0.044642857142857144,63595.119999999995,2088525.0,0.03044977675632324,107998.31999999999,2088525.0,0.051710331454016586,0.049909796478807514,2640.3097231165484,1560.592401802962,2591.457055162052,2155.9283150890747,9381.555403520068,46259.894610431424,10.028350515463918,2.622737207887242,0.8756081447656149,1.6587250482936253,1553,1553,1553,464,1089,1553,1.0,1.0,0.2987765614938828,0.7012234385061172,0.2987765614938828,0.7012234385061172,1.0
1,,7769,0.11919666145018258,7769,455,7314,0.05856609602265414,7769,306,7463,0.03938730853391685,507561.05000000005,10329060.0,0.04913913269939375,602434.39,10329060.0,0.05832422214606169,0.061013312305114115,2525.0091388853134,1329.5224610632,3019.6057472004113,2489.108346205003,9376.395190929763,,,,,,7769,7769,7769,3993,3776,7769,1.0,1.0,0.5139657613592483,0.4860342386407517,0.5139657613592483,0.4860342386407517,1.0
2,Accommodation and Food Services,114,0.0017490564300837706,59,6,53,0.1016949152542373,105,6,99,0.05714285714285714,5957.04,122875.0,0.04848048830111902,9235.91,122875.0,0.07516508646998983,0.05306191890977054,2232.6754385964914,1219.7368421052631,1261.0133040935673,950.2023099415204,6005.572178362575,28046.955175438594,9.793859649122806,1.524829467438596,0.9059584525877193,1.543859649122807,114,114,114,32,82,114,1.0,1.0,0.2807017543859649,0.7192982456140351,0.2807017543859649,0.7192982456140351,1.0
2,Bank-issued Payroll Distribution,324,0.004971002485501243,196,15,181,0.07653061224489796,304,15,289,0.049342105263157895,19876.7,370650.0,0.05362660191555376,18286.690000000002,370650.0,0.04933681370565224,0.05234485410046457,2458.8734567901233,1298.6882716049383,2274.7678858024688,1923.4026954732512,7354.497088477367,33178.838271604945,8.808641975308642,2.392930620018576,0.8861986456543209,1.7253086419753085,324,324,324,112,212,324,1.0,1.0,0.345679012345679,0.654320987654321,0.345679012345679,0.654320987654321,1.0
