primary_model_score_bin,comparison_model_score_bin,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
4,3,3169,0.04862070023627604,2534,288,2246,0.11365430149960537,3074,207,2867,0.06733897202342225,204917.58000000002,2568305.0,0.07978708915023723,288023.66000000003,2568305.0,0.1121454266529871,0.05689790083384224,1835.634269485642,869.3751972230988,1603.9626990638476,1299.3659372041652,5671.385818344377,23720.683533963886,10.562015503875969,2.577994907081315,0.9223298224643166,1.4582975064488393,3169,3169,3169,1413,1756,3169,1.0,1.0,0.44588198169769644,0.5541180183023036,0.44588198169769644,0.5541180183023036,1.0
4,4,3728,0.05719721378379208,3223,510,2713,0.15823766677009,3630,361,3269,0.09944903581267217,365189.54000000004,3040512.0,0.12010790945735457,416088.06999999995,3040512.0,0.136848027569041,0.05750437331314913,1934.5962982832618,847.206813304721,1730.0914176502145,1420.0856750715307,5712.203353451359,23468.46091286307,10.58686616791355,2.646778618007519,0.9203914181078836,1.4896265560165975,3728,3728,3728,1590,2138,3728,1.0,1.0,0.42650214592274677,0.5734978540772532,0.42650214592274677,0.5734978540772532,1.0
4,5,3288,0.05044646966767928,3066,702,2364,0.22896281800391388,3288,424,2864,0.12895377128953772,510912.28,2968005.0,0.17213996607148574,575667.9299999999,2968005.0,0.19395787069091863,0.05725919818572163,1972.1806569343066,902.6779197080292,2139.0059509326843,1802.6431219586373,6265.092714922953,25468.58787878788,10.094566353187043,2.901028295989507,0.8964144424252872,1.6091954022988506,3288,3288,3288,1312,1976,3288,1.0,1.0,0.39902676399026765,0.6009732360097324,0.39902676399026765,0.6009732360097324,1.0
4,,52,0.0007978152137224217,0,0,0,,45,2,43,0.044444444444444446,0.0,42425.0,0.0,2158.73,42425.0,0.05088344136711844,0.04228001765665786,1983.173076923077,1043.75,1251.8849999999998,1024.2662500000001,5596.718333333333,22571.3714,10.71,1.6181055013799999,0.95613716408,1.26,52,52,52,7,45,52,1.0,1.0,0.1346153846153846,0.8653846153846154,0.1346153846153846,0.8653846153846154,1.0
5,1,249,0.0038203074657092886,186,6,180,0.03225806451612903,238,13,225,0.0546218487394958,4057.0599999999995,174675.0,0.023226334621439814,7422.089999999999,174675.0,0.042490854443967364,0.056330926894689784,1540.6626506024097,796.7871485943775,1082.8322155287817,813.9033734939759,4938.826780455153,15785.242688172044,10.89247311827957,1.848384794344086,0.9420551496881719,1.3440860215053763,249,249,249,86,163,249,1.0,1.0,0.3453815261044177,0.6546184738955824,0.3453815261044177,0.6546184738955824,1.0
5,2,863,0.013240664027739421,629,57,572,0.09062003179650238,827,60,767,0.07255139056831923,34776.17,570035.0,0.0610070785127229,42419.86,570035.0,0.07441623759944566,0.053492246023031875,1601.4484356894554,745.0,1190.9722788721515,936.0723812282735,5010.54839899575,17550.596028571428,11.15850144092219,2.691489215945087,0.9289152022857143,1.437142857142857,863,863,863,327,536,863,1.0,1.0,0.37891077636152953,0.6210892236384704,0.37891077636152953,0.6210892236384704,1.0
5,3,1839,0.02821504188529872,1364,171,1193,0.125366568914956,1767,166,1601,0.09394453876627051,93044.54000000001,1195446.0,0.07783249096989743,130671.09,1195446.0,0.10930739656998309,0.05327333981980429,1614.7781402936378,724.0190320826537,1341.2953588907014,1087.1000815660686,5004.1394480696035,17597.56112033195,10.60152990264256,2.911357434046089,0.9296346265587829,1.4190871369294606,1839,1839,1839,671,1168,1839,1.0,1.0,0.3648722131593257,0.6351277868406743,0.3648722131593257,0.6351277868406743,1.0
5,4,3316,0.050876062475068276,2746,505,2241,0.18390386016023308,3220,347,2873,0.10776397515527951,275043.93,2201594.0,0.12492945111587331,341729.95999999996,2201594.0,0.1552193365352558,0.055245629904096906,1660.645958986731,704.5141737032569,1518.7507438681143,1249.956605850422,5154.187989545638,18444.929531388152,10.057282415630551,2.6588561828299198,0.9262125434907161,1.4288240495137048,3316,3316,3316,1169,2147,3316,1.0,1.0,0.3525331724969843,0.6474668275030157,0.3525331724969843,0.6474668275030157,1.0
5,5,6804,0.1043910521955261,6329,1942,4387,0.30684152314741664,6804,1193,5611,0.17533803644914756,1037890.59,4846716.0,0.21414305892897376,1243992.52,4846716.0,0.2566670958232337,0.05440842009078163,1729.0980305702528,712.3333333333334,1783.4525144522827,1504.6522866451105,5459.369771947874,18872.273161838166,9.935782108945528,3.07170151570674,0.9131996939260739,1.5164835164835164,6804,6804,6804,1733,5071,6804,1.0,1.0,0.25470311581422694,0.7452968841857731,0.25470311581422694,0.7452968841857731,1.0
5,,107,0.0016416582282365215,38,9,29,0.23684210526315788,98,16,82,0.16326530612244897,4839.96,81550.0,0.059349601471489884,10399.789999999999,81550.0,0.1275265481299816,0.04831804538756214,1743.233644859813,863.5514018691589,1343.4206074766355,1097.0641277258567,5284.678395638629,16813.247619047615,10.492063492063492,2.49281727215873,0.9207982355714287,1.4285714285714286,107,107,107,9,98,107,1.0,1.0,0.08411214953271028,0.9158878504672897,0.08411214953271028,0.9158878504672897,1.0
