primary_model_score_bin,state,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
3,QLD,3626,0.05563226855687502,3029,314,2715,0.10366457576758006,3520,220,3300,0.0625,248709.52,3342998.0,0.07439714890646061,309373.43,3342998.0,0.09254370777368098,0.05767283818323043,1946.7655819084391,983.2592388306674,1745.546043390329,1401.3633590733589,6303.507850248207,28158.748882035463,10.107941403238241,2.285917551926754,0.9106473845705473,1.4957594448727833,3626,3626,3626,1624,2002,3626,1.0,1.0,0.44787644787644787,0.5521235521235521,0.44787644787644787,0.5521235521235521,1.0
3,QLD(LVR&PO),1,1.5342600263892726e-05,1,1,0,1.0,1,0,1,0.0,933.35,2000.0,0.466675,0.0,2000.0,0.0,0.0952701193963195,5000.0,2000.0,4643.036666666666,3857.2733333333326,8247.741666666665,,,,,,1,1,1,1,0,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3,SA,755,0.011583663199239006,629,71,558,0.11287758346581876,729,45,684,0.06172839506172839,56418.26,726656.0,0.07764094702307557,59617.350000000006,726656.0,0.08204342907785803,0.05911900871106276,1980.9933774834437,1021.2,1704.3415827814567,1356.4081192052977,6183.428075055187,26734.77505882353,10.89763779527559,2.7449900402015808,0.9304379252313725,1.4705882352941178,755,755,755,361,394,755,1.0,1.0,0.4781456953642384,0.5218543046357615,0.4781456953642384,0.5218543046357615,1.0
3,TAS,274,0.004203872472306606,243,18,225,0.07407407407407407,272,11,261,0.04044117647058824,12043.86,243610.0,0.049439103485078614,13871.37,243610.0,0.056940889126062155,0.05868540609810716,1975.2737226277372,935.529197080292,1688.1094647201944,1350.8371167883208,6084.987968369829,26693.98623529412,10.541176470588235,1.650577464904762,0.9214983889882352,1.5058823529411764,274,274,274,129,145,274,1.0,1.0,0.4708029197080292,0.5291970802919708,0.4708029197080292,0.5291970802919708,1.0
3,VIC,2746,0.042130780324649425,2303,278,2025,0.12071211463308727,2680,151,2529,0.05634328358208955,218467.35,2619015.0,0.08341584527007291,253420.82,2619015.0,0.09676188185252853,0.060031683498135174,2108.6871813546977,1011.731609613984,1770.7822808934204,1421.49664603059,6147.073047462975,27440.897196367765,10.604545454545455,2.6113100507053466,0.9151499402587967,1.52894438138479,2746,2746,2746,1231,1515,2746,1.0,1.0,0.4482884195193008,0.5517115804806992,0.4482884195193008,0.5517115804806992,1.0
3,WA,1510,0.023167326398478013,1289,146,1143,0.11326609775019394,1476,127,1349,0.08604336043360433,118499.18000000001,1460956.0,0.08111071106864273,150343.77,1460956.0,0.10290780146698462,0.05743138563780423,2029.5529801324503,1014.8549668874172,2036.7744834437085,1674.428783664459,6704.063625827814,30327.397948207174,11.597609561752988,2.5404817597968123,0.9202704180856573,1.4860557768924303,1510,1510,1510,671,839,1510,1.0,1.0,0.44437086092715233,0.5556291390728477,0.44437086092715233,0.5556291390728477,1.0
4,ACT,171,0.002623584645125656,142,22,120,0.15492957746478872,168,17,151,0.10119047619047619,19090.77,141700.0,0.13472667607621736,21492.33,141700.0,0.15167487649964714,0.05459674327554158,1941.2280701754387,891.0818713450292,1623.563791423002,1323.0051851851852,5848.011608187134,22743.37071428571,11.1875,2.4664961816909092,0.890105672625,1.5714285714285714,171,171,171,68,103,171,1.0,1.0,0.39766081871345027,0.6023391812865497,0.39766081871345027,0.6023391812865497,1.0
4,NSW,4042,0.06201479026665439,3399,500,2899,0.14710208884966167,3945,325,3620,0.08238276299112801,370975.79000000004,3438571.0,0.10788661627170125,450144.93,3438571.0,0.13091046542299112,0.057333386192236775,1916.7738743196437,893.8077684314695,1710.7307974600033,1395.3431267524327,5853.911256803562,23466.514176136363,10.643264433357093,2.4540191113065903,0.9203437817883523,1.4701704545454546,4042,4042,4042,1623,2419,4042,1.0,1.0,0.40153389411182583,0.5984661058881742,0.40153389411182583,0.5984661058881742,1.0
4,NT,258,0.003958390868084323,226,28,198,0.12389380530973451,255,26,229,0.10196078431372549,18756.96,211751.0,0.08858026644502269,20563.93,211751.0,0.0971137326388069,0.05584172089014122,1852.5193798449613,845.1589147286821,1812.1561627906976,1513.2060465116278,5700.671989664082,26786.43013513513,11.06081081081081,2.2707362125479453,0.9229583957432433,1.445945945945946,258,258,258,110,148,258,1.0,1.0,0.4263565891472868,0.5736434108527132,0.4263565891472868,0.5736434108527132,1.0
4,QLD,3651,0.05601583356347234,3096,466,2630,0.15051679586563307,3575,306,3269,0.08559440559440559,343413.74,3073123.0,0.11174747642707435,395714.01,3073123.0,0.12876608258113978,0.05691011889554132,1864.8877019994522,883.3588058066283,1654.9546977996895,1341.9027695608509,5811.308769286952,23398.432321711567,10.30689928628073,2.509809447968153,0.914530101290016,1.5047543581616483,3651,3651,3651,1575,2076,3651,1.0,1.0,0.4313886606409203,0.5686113393590797,0.4313886606409203,0.5686113393590797,1.0
4,SA,820,0.012580932216392034,693,104,589,0.15007215007215008,795,60,735,0.07547169811320754,66227.59,650320.0,0.10183846414073071,72575.48,650320.0,0.11159964325255259,0.057313787683276746,1775.2439024390244,851.0,1636.9425609756097,1330.2321605691056,5611.206012195122,22918.192197802196,10.841911764705882,2.395569147191176,0.9382361223809523,1.3553113553113554,820,820,820,353,467,820,1.0,1.0,0.4304878048780488,0.5695121951219512,0.4304878048780488,0.5695121951219512,1.0
4,TAS,286,0.0043879836754733195,246,32,214,0.13008130081300814,277,15,262,0.05415162454873646,22193.83,223255.0,0.0994102259747822,26890.6,223255.0,0.12044791829970213,0.05948195372645686,1714.86013986014,821.2587412587412,1466.7045454545455,1159.149924242424,5464.719772727272,21164.785730337077,10.539325842696629,2.6913010579775283,0.9386041258651684,1.4382022471910112,286,286,286,127,159,286,1.0,1.0,0.44405594405594406,0.5559440559440559,0.44405594405594406,0.5559440559440559,1.0
4,VIC,2751,0.04220749332596888,2266,354,1912,0.1562224183583407,2669,240,2429,0.08992131884600973,255411.58999999997,2270801.0,0.11247643012311513,309797.0,2270801.0,0.1364263094828653,0.05840489926532342,1943.9385677935297,880.4074881861142,1690.8655167817763,1379.2469792802615,5661.021285593117,22991.18489882854,10.464818763326226,2.6854952515854706,0.9212224969627264,1.4866879659211927,2751,2751,2751,1135,1616,2751,1.0,1.0,0.41257724463831336,0.5874227553616866,0.41257724463831336,0.5874227553616866,1.0
4,WA,1477,0.022661020589769553,1247,169,1078,0.13552526062550121,1445,156,1289,0.10795847750865052,120865.86,1230168.0,0.09825150711122384,153712.23,1230168.0,0.12495222603741929,0.055761494918856305,1858.5985104942451,879.6499661475965,1945.5834913112167,1627.218214849921,6088.270489731438,25012.848405797104,11.520746887966805,3.2377425139874996,0.9152119241511388,1.4865424430641823,1477,1477,1477,630,847,1477,1.0,1.0,0.4265402843601896,0.5734597156398105,0.4265402843601896,0.5734597156398105,1.0
5,ACT,147,0.0022553622387922307,131,39,92,0.29770992366412213,142,26,116,0.18309859154929578,21159.710000000003,96125.0,0.22012702210663201,22896.29,96125.0,0.23819287386215865,0.05546069079001797,1853.0680272108843,686.3945578231293,1434.6866326530612,1166.9103628117914,5109.924444444444,19239.626428571428,12.928571428571429,3.3770582725476195,0.8948915665952383,1.5,147,147,147,45,102,147,1.0,1.0,0.30612244897959184,0.6938775510204082,0.30612244897959184,0.6938775510204082,1.0
5,NSW,3909,0.05997422443155666,3312,775,2537,0.23399758454106281,3833,530,3303,0.13827289329506914,431861.33999999997,2712366.0,0.15921941950312013,528265.57,2712366.0,0.19476190528859305,0.054242531526950015,1750.2087490406755,726.1616781785623,1588.0348486398907,1315.6691681589493,5328.753254881896,18797.402704918033,9.960388639760836,2.9170997192953525,0.9175821097406854,1.481371087928465,3909,3909,3909,1174,2735,3909,1.0,1.0,0.30033256587362495,0.699667434126375,0.30033256587362495,0.699667434126375,1.0
5,NT,321,0.004924974684709565,288,60,228,0.20833333333333334,318,52,266,0.16352201257861634,29746.56,212175.0,0.14019823259102157,43025.34,212175.0,0.2027823259102156,0.05372367483428932,1532.632398753894,691.0436137071652,1901.5076375908618,1628.5763499480788,5386.402923156802,19334.568333333333,11.555555555555555,3.004477371111111,0.9365950417999999,1.3666666666666667,321,321,321,116,205,321,1.0,1.0,0.3613707165109034,0.6386292834890965,0.3613707165109034,0.6386292834890965,1.0
