primary_model_score_bin,attributed_category,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
3,GEO,26,0.00039890760686121085,19,1,18,0.05263157894736842,26,1,25,0.038461538461538464,1172.08,26775.0,0.04377516339869281,1691.67,26775.0,0.06318095238095238,0.05122009774490422,2624.0384615384614,1100.9615384615386,2281.765,1989.2416666666666,6496.904166666665,23696.382222222222,10.833333333333334,3.1815600213333335,0.8583134086666667,1.6111111111111112,26,26,26,9,17,26,1.0,1.0,0.34615384615384615,0.6538461538461539,0.34615384615384615,0.6538461538461539,1.0
3,Google,5238,0.08036454018227009,4056,404,3652,0.09960552268244575,5063,291,4772,0.05747580485877938,350549.19999999995,4864417.0,0.07206396984469053,404063.19999999995,4864417.0,0.08306508261935602,0.05547466080840535,1976.0271095838107,1003.6716303932799,1760.991011200204,1434.6845211276568,6249.1977481863305,27427.28618158676,10.718378607809846,2.5613735064957486,0.9148791185914297,1.5002121340687313,5238,5238,5238,2282,2956,5238,1.0,1.0,0.43566246659030167,0.5643375334096984,0.43566246659030167,0.5643375334096984,1.0
3,Lead Partner,2550,0.03912363067292645,2282,277,2005,0.12138475021910605,2523,194,2329,0.07689258818866429,232523.12000000002,2582087.0,0.09005239560092283,278526.2,2582087.0,0.10786863494529814,0.05806479542245892,1993.9027450980393,1038.9360784313726,1832.5490699346403,1471.4524202614377,6569.480352287582,30068.112710622714,10.932234432234432,2.3836327607130645,0.9251177839267399,1.4395604395604396,2550,2550,2550,1120,1430,2550,1.0,1.0,0.4392156862745098,0.5607843137254902,0.4392156862745098,0.5607843137254902,1.0
3,Meta,56,0.0008591856147779926,49,6,43,0.12244897959183673,52,4,48,0.07692307692307693,4552.0,47200.0,0.0964406779661017,5650.040000000001,47200.0,0.11970423728813562,0.06775056052123893,2322.3214285714284,1053.5714285714287,1614.8135714285713,1233.1846428571428,6008.353154761904,26989.211428571427,6.857142857142857,3.6258395509999994,0.8941774015714286,1.5714285714285714,56,56,56,27,29,56,1.0,1.0,0.48214285714285715,0.5178571428571429,0.48214285714285715,0.5178571428571429,1.0
3,Organic,4225,0.06482248611494676,3852,454,3398,0.11786085150571132,4168,283,3885,0.0678982725527831,359840.95,3965581.0,0.09074104147664618,428809.76,3965581.0,0.1081328965415156,0.06305365048095304,1970.9408284023668,968.6345562130177,1913.0279076923075,1537.7827384615384,6304.175451282051,27713.59065060241,9.948130277442703,2.2504633431002414,0.9075096034132529,1.5433734939759036,4225,4225,4225,2002,2223,4225,1.0,1.0,0.47384615384615386,0.5261538461538462,0.47384615384615386,0.5261538461538462,1.0
3,Owned Channels,1220,0.018717972321949123,937,110,827,0.11739594450373532,1154,79,1075,0.0684575389948007,98174.41,1202823.0,0.0816199972897093,131193.22,1202823.0,0.10907109358567303,0.05867752258568129,2471.5163934426228,1130.4901639344262,1660.8445874316938,1305.9134549180326,6380.297562841529,26763.162842535785,10.20389344262295,2.353233042202869,0.9183839925296524,1.4723926380368098,1220,1220,1220,498,722,1220,1.0,1.0,0.4081967213114754,0.5918032786885246,0.4081967213114754,0.5918032786885246,1.0
3,Tiktok,13,0.00019945380343060543,13,3,10,0.23076923076923078,13,1,12,0.07692307692307693,2693.75,13750.0,0.19590909090909092,3045.14,13750.0,0.22146472727272726,0.07510615068226234,3288.4615384615386,1057.6923076923076,2008.7383333333337,1565.9,6001.501666666667,,,,,,13,13,13,7,6,13,1.0,1.0,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.46153846153846156,1.0
4,Apple Search Ads,13,0.00019945380343060543,0,0,0,,2,0,2,0.0,0.0,0.0,,0.0,0.0,,0.0441279223779959,1630.7692307692307,738.4615384615385,1729.7216666666666,1492.2766666666664,5835.396666666666,25478.470833333336,8.583333333333334,0.9048713120833334,0.8916845880000001,1.5833333333333333,13,13,13,5,8,13,1.0,1.0,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.6153846153846154,1.0
4,Bing,89,0.0013654914234864524,74,12,62,0.16216216216216217,86,7,79,0.08139534883720931,7882.950000000001,83600.0,0.09429366028708135,11966.83,83600.0,0.1431438995215311,0.05646452642818927,2044.3820224719102,982.0224719101124,1764.9257677902622,1439.12872659176,6095.947827715355,24643.467407407406,11.148148148148149,1.6790083442962964,0.9450491106296297,1.4444444444444444,89,89,89,41,48,89,1.0,1.0,0.4606741573033708,0.5393258426966292,0.4606741573033708,0.5393258426966292,1.0
4,GEO,32,0.0004909632084445672,17,3,14,0.17647058823529413,30,1,29,0.03333333333333333,2202.7799999999997,28125.0,0.07832106666666666,2820.84,28125.0,0.10029653333333334,0.044453445303599806,2356.25,919.53125,1122.7084375,914.2351562499999,4908.194010416666,20656.528333333332,12.183333333333334,4.785015655733334,0.9021492816333333,1.8,32,32,32,7,25,32,1.0,1.0,0.21875,0.78125,0.21875,0.78125,1.0
